user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,ip_address,class,category,dob,name,email
73884,29-05-2015 16:22,16-06-2015 05:45,69508,ZTZZJUCRDOCJZ,Direct,Chrome,M,4038284553,0,cosmetics,07-06-1983,Emily H Flitterl,emily.flitterl@tntech.edu
79203,16-06-2015 21:19,21-06-2015 03:29,31999,IBPNKSMCKUZWD,SEO,Safari,M,4161540927,0,apparels,19-06-1982,Olivia X Oranr,olivia_oranr@sutletgroup.com
299320,03-03-2015 19:17,05-04-2015 12:32,84732,RMKQNVEWGTWPC,Direct,Safari,M,3178510015,0,cosmetics,15-10-1977,Rachelle K Younglaic,rachelle.younglaic@tntech.edu
82931,16-02-2015 02:50,16-04-2015 00:56,71616,XKIFNYUZMBWFU,SEO,IE,M,4203487754,0,apparels,21-10-1991,John L ODonnell,john.odonnell@gmail.com
31383,01-02-2015 01:06,24-03-2015 10:17,84796,UNUAVQXNWFBMO,SEO,Safari,F,995732779,0,home_essentials,26-08-1991,Nate F Raymondj,nate.raymondj@gmail.com
78986,15-05-2015 03:52,11-08-2015 02:29,66143,TGHVAWBMZRDHH,SEO,FireFox,M,3503883392,0,apparels,12-04-1992,Simon W Jessope,simon.jessope@gmail.com
119824,20-03-2015 00:31,05-04-2015 07:31,51106,WFIIFCPIOGMHT,Ads,Safari,M,131423.789,0,cosmetics,16-01-1977,Herbert P Lashb,herbert.lashb@gmail.com
357386,03-02-2015 00:48,24-03-2015 18:27,63268,NWSVDOHYIOBDR,Ads,FireFox,M,3037372279,0,apparels,20-09-1991,Tim Z Hepherp,tim.hepherp@hotmail.com
289172,17-07-2015 05:48,12-11-2015 22:08,46018,KFZGQIWDIRLZB,Direct,FireFox,F,1044590098,0,cosmetics,19-08-1962,Isabel U Reynoldsb,isabel_reynoldsb@rigginglifting.com
154699,08-07-2015 15:35,20-07-2015 00:11,23319,TYZPZLEWNJJRI,Direct,FireFox,F,3847612074,0,apparels,06-10-1992,Christopher Z Doeringv,christopher_doeringv@gmail.com
316355,08-08-2015 20:05,03-10-2015 02:21,67334,IHGECNGZGQOAZ,SEO,Chrome,M,3836794299,0,health_care,16-10-1987,Silvia A Aloisiq,silvia.aloisiq007@tntech.edu
343378,30-01-2015 08:50,22-04-2015 15:11,67790,VOMVNRHNBLLMI,SEO,Chrome,F,1008390841,0,health_care,27-10-1991,Patrick E Temple-Westf,patrick.temple-westf@gmail.com
370338,08-01-2015 11:47,29-03-2015 20:46,31233,QLMZBEDPYFUXT,Ads,IE,M,3442657972,0,electronics,02-09-1981,David I Henryp,david.henryp@yahoo.com
171711,11-01-2015 01:51,11-01-2015 01:51,29818,YPLQGKBAAULUV,Direct,IE,F,1120619336,1,health_care,,Svea U Herbst-Baylisss,svea.herbst-baylisss@gmail.com
59780,04-01-2015 22:32,16-01-2015 01:13,16105,WUMOBGUCBOXPO,SEO,FireFox,M,1752166824,1,health_care,07-11-1979,Elinor G Comlaye,elinor.comlaye@yahoo.com
176129,28-01-2015 12:53,29-01-2015 23:21,12680,XUNJIVTRXCRZL,Ads,IE,M,745823926.8,0,health_care,06-06-1983,Lisa B Baertleink,lisa.baertleink@brandermill.com
100886,12-07-2015 14:14,29-07-2015 07:41,90647,GIREUSMFWWUZJ,SEO,Chrome,F,1799140971,0,health_care,23-08-1987,Aruna K Viswanathau,aruna.viswanathau@thefloridadesigngroup.com
221257,29-05-2015 17:55,05-09-2015 22:42,46632,LGFXOENGXOBXI,SEO,IE,M,698700037.4,0,electronics,11-08-1996,Fiona J Ortizx,fiona.ortizx@yahoo.com
151705,07-01-2015 03:44,07-01-2015 03:44,49266,URHCRIXOMLJMH,SEO,Chrome,F,2836025221,1,apparels,19-08-1988,Taiga D Uranakan,taiga.uranakan@yahoo.com
399610,03-04-2015 20:06,01-06-2015 07:42,98531,CLTWKVSGDCFRD,SEO,FireFox,F,287463049.3,0,health_care,22-02-1976,Allison A Martelly,allison.martelly@sutletgroup.com
396746,05-08-2015 23:50,14-08-2015 12:08,83290,JUWCOHMHRBDCL,SEO,IE,M,2937613755,0,electronics,16-08-1959,Steve U Slatery,steve.slatery@gmail.com
243817,13-02-2015 18:16,23-04-2015 17:44,64864,YIIEFBZUGEXNR,Direct,Chrome,F,2521870760,0,electronics,08-02-1983,ita D Bosed,ita.bosed@yahoo.com
262245,03-01-2015 03:29,26-02-2015 23:23,76137,YAQQIDVLQRBLL,Ads,IE,F,2803457087,0,home_essentials,04-02-1994,Doris B Frankelj,doris_frankelj@yahoo.com
256743,12-06-2015 19:11,11-07-2015 06:42,3025,VVZIVFUBISCEV,SEO,IE,M,2260745439,0,cosmetics,22-09-1993,Anna I Driverq,anna_driverq09@tntech.edu
306604,09-02-2015 13:01,22-02-2015 06:55,5447,REPNWECRCGXIS,SEO,IE,M,1418160722,0,health_care,19-11-1976,Matt Q Falloono,matt.falloono@yahoo.com
4435,31-01-2015 01:18,14-04-2015 09:33,31615,MJLRKEEEZARII,Ads,Opera,M,301185167.5,0,electronics,10-07-1980,John A McCrankg,john.mccrankg@hotmail.com
174879,12-08-2015 20:24,09-09-2015 03:39,98610,ONLMVTYBMQQWN,Ads,FireFox,M,2871721777,0,home_essentials,13-09-1985,Henry N Foyi,henry.foyi@brandermill.com
192353,25-04-2015 12:52,29-07-2015 12:50,6710,RPHZDFAXPVJTK,SEO,Chrome,M,3071734454,0,health_care,02-07-1958,Clara J Ferreira-Marquesi,clara.ferreira-marquesi@thefloridadesigngroup.com
134152,25-05-2015 00:37,23-06-2015 14:29,13001,CDJIUJQMWXHWX,Ads,IE,M,2132402323,0,health_care,,Aruna X Viswanathag,aruna.viswanathag@gmail.com
81113,16-08-2015 12:56,24-08-2015 05:00,31921,BKQVBSSFGETUQ,Direct,Chrome,F,3682311660,0,home_essentials,14-11-1971,Michael L Ermanl,michael.ermanl@brandermill.com
107312,19-03-2015 23:56,21-03-2015 03:39,49841,OUUHDCKIYEXLM,Ads,Chrome,M,3959167319,0,apparels,24-02-1979,Subhadip P Sircarf,subhadip.sircarf@gmail.com
55002,09-06-2015 00:32,17-09-2015 13:45,85743,QLHWTRKJZWMAW,SEO,FireFox,M,3184464830,0,electronics,01-08-1996,Jessica I Toonkelx,jessica.toonkelx@sutletgroup.com
250432,19-02-2015 12:31,03-03-2015 12:00,59053,BWTRKTCCGCMMR,Ads,IE,M,303778372.4,0,health_care,06-04-1975,Ernest P Scheyderr,ernest.scheyderr@thefloridadesigngroup.com
132826,25-07-2015 10:41,26-08-2015 05:40,40833,UOSPQFPVALJAX,SEO,FireFox,F,3364603498,0,home_essentials,06-02-1980,en Y Klaymant,en.klaymant@thefloridadesigngroup.com
313833,16-08-2015 20:48,17-11-2015 09:43,5468,GDATAKTYQUGWR,Ads,IE,M,569038405.1,0,apparels,22-07-1960,John O ODonnell,john.odonnell@yahoo.com
300818,24-01-2015 05:56,21-03-2015 18:44,28121,UIMMNPECDIHFV,Ads,FireFox,M,3429491019,0,cosmetics,25-11-1992,Ben C Berkowitze,ben.berkowitze@gmail.com
262864,03-05-2015 08:12,01-06-2015 08:41,97586,LYTLRYTPUANEC,Ads,Chrome,F,3580176912,0,apparels,18-04-1991,Rick R Rothackerq,rick.rothackerq@gmail.com
89475,17-05-2015 04:21,09-09-2015 09:55,25933,XZXUYCZIRRECT,Ads,FireFox,M,3923631939,0,electronics,14-08-1978,Steven G C.z,steven.c.z@tntech.edu
305751,22-06-2015 19:30,19-10-2015 12:52,56360,TRGSXNEBCCGME,Direct,Chrome,F,3555140234,0,home_essentials,09-04-1992,Carlos W Ruanov,carlos.ruanov@brandermill.com
254562,12-05-2015 18:58,31-07-2015 11:36,56245,VYSNKKTTQIXQC,Ads,FireFox,F,2977122408,0,health_care,05-07-1970,Sinead P Carewi,sinead.carewi@yahoo.com
247815,13-02-2015 10:28,04-04-2015 18:08,61309,BZJKAWMGZHVDI,SEO,Safari,F,3195352718,0,cosmetics,,Edward O Taylorz,edward.taylorz@thefloridadesigngroup.com
192767,08-01-2015 12:17,28-04-2015 02:09,85643,ZTORJKTDMYTJH,Ads,Safari,M,2568639630,0,electronics,21-02-1983,Costa P Alisterq,costa.alisterq@flossresearch.com
310147,06-07-2015 05:45,22-07-2015 04:19,70400,GAPQDLEFDZYCO,Ads,Safari,F,2626780561,0,apparels,20-08-1995,Aileen E Wangy,aileen.wangy@brandermill.com
339348,10-07-2015 08:29,13-10-2015 12:34,37153,RFKAOQAIQDQSL,Ads,Safari,M,775036641.5,0,health_care,11-10-1977,Alastair J Sharpe,alastair.sharpe@thefloridadesigngroup.com
394644,09-02-2015 11:04,08-04-2015 06:38,28362,DOTXRQKMYPZCG,SEO,Chrome,F,3064167004,0,cosmetics,03-02-1967,Alexei R Anishchukz,alexei.anishchukz@flossresearch.com
30729,16-01-2015 06:15,12-04-2015 10:16,93109,YDRJUNHYWJMMG,Ads,Safari,M,3543681271,0,cosmetics,03-02-1990,Suvashree N Deyy,suvashree.deyy@sutletgroup.com
233374,04-07-2015 14:10,16-07-2015 10:55,43857,VSWWOJLJPLUNZ,SEO,Chrome,F,2961640224,0,health_care,08-06-1990,Matthew V Goldsteinb,matthew.goldsteinb@yahoo.com
366068,14-05-2015 04:54,11-07-2015 03:24,78279,JQYCFABXAMQVP,Direct,Chrome,M,3463946532,0,electronics,23-03-1984,Jennifer J Ablanc,jennifer.ablanc@gmail.com
345865,01-02-2015 05:59,20-02-2015 08:09,35831,FKQPZUELCRKBL,SEO,IE,M,2740589787,1,health_care,17-06-1985,Sara V Rossii,sara.rossii@tntech.edu
324683,18-01-2015 02:51,19-04-2015 22:24,34657,JFVSIORUJBMXS,Ads,IE,M,4228027812,1,home_essentials,,Dhanya E Skariachand,dhanya.skariachand@gmail.com
221091,20-02-2015 18:29,03-05-2015 11:33,86357,XKARVFXNUGHGH,Direct,Chrome,F,1990595542,0,apparels,,Chuck V Mikolajczaky,chuck.mikolajczaky@hotmail.com
222633,18-04-2015 14:33,03-06-2015 00:43,35386,CYULQPBDHLIBY,SEO,FireFox,M,1438733277,0,home_essentials,04-08-1974,Warren B Strobels,warren.strobels@yahoo.com
336190,05-01-2015 21:07,15-03-2015 00:43,62155,ECDEOLUBPCUAI,Ads,IE,M,4006899917,1,health_care,15-02-1980,Lucia U Mutikanid,lucia.mutikanid@gmail.com
181004,07-01-2015 17:45,07-01-2015 17:45,43898,WETYPHOQVLWMK,Ads,FireFox,M,2293332682,1,home_essentials,03-01-1979,Michael B Ermani,michael.ermani@hotmail.com
185360,28-06-2015 16:32,02-08-2015 17:43,3625,TTYDBTRYPTNQU,SEO,IE,M,783532076.8,0,electronics,21-04-1995,Jonathan Y Spicers,jonathan.spicers@gmail.com
23078,30-04-2015 12:38,04-07-2015 20:00,68731,KCDZVBAIRPNLS,SEO,FireFox,F,1834619467,0,electronics,05-02-1984,Aileen C Wangw,aileen.wangw@yahoo.com
257050,02-06-2015 17:33,08-06-2015 20:18,75223,TMWANSMCBRGVX,SEO,IE,M,2680500620,0,cosmetics,11-02-1986,Tom F Milese,tom.milese@hotmail.com
165137,13-04-2015 05:58,04-05-2015 03:02,59204,FCBIXXRAVQAQO,SEO,Chrome,M,3077902821,0,cosmetics,14-06-1989,Chris V Vellacotte,chris.vellacotte@rigginglifting.com
322319,15-03-2015 08:44,03-05-2015 23:51,80482,WZOCUYFWWGILX,Ads,FireFox,F,277257680.5,0,health_care,26-11-1993,Steven F C.g,steven.c.g@rigginglifting.com
99299,22-07-2015 17:08,10-08-2015 20:44,65902,JTHVCCWTCLEWQ,Ads,IE,F,3660878807,0,home_essentials,26-10-1991,Laura W Noonanp,laura.noonanp@yahoo.com
267772,26-04-2015 18:42,12-07-2015 16:54,9338,DXMWUANJKLRHS,Ads,Chrome,M,86067372.7,0,apparels,23-09-1972,Carrick F Mollenkampu,carrick.mollenkampu@flossresearch.com
174509,29-05-2015 02:42,27-06-2015 07:03,81456,TBBARLCDTWATC,Ads,IE,M,827789689.1,0,cosmetics,18-01-1990,Doug Z Palmerf,doug.palmerf@yahoo.com
236096,29-07-2015 00:27,20-11-2015 06:06,51951,PIZVLJKSYDERZ,Direct,IE,M,453892720.4,0,electronics,03-10-1993,Joyce Q Leeo,joyce.lee144@sutletgroup.com
350818,16-07-2015 08:48,27-09-2015 17:44,48547,BITOGCKJPSLTZ,SEO,FireFox,M,434228853,0,electronics,05-08-1996,Jonathan X Stempelm,jonathan.stempelm@thefloridadesigngroup.com
357570,22-07-2015 10:58,23-09-2015 12:54,28375,SSSAYDHGYNZSZ,Ads,Chrome,F,832647585.6,0,health_care,23-01-1983,Sarah A Whited,sarah.whited@brandermill.com
19976,29-04-2015 10:01,28-07-2015 00:09,2931,DYBIFILSHTKDH,Direct,IE,F,869888505.4,0,health_care,20-11-1990,Catherine H Bosleyn,catherine.bosleyn@gmail.com
392706,07-01-2015 08:15,07-01-2015 11:15,59759,VRYLIRAQJIIIE,SEO,Opera,F,1213104904,1,home_essentials,09-10-1957,Tom V Halsb,tom.halsb@yahoo.com
43831,04-02-2015 19:55,26-03-2015 09:03,21300,GGRUOKKINWLQW,Ads,Safari,F,214597247.1,0,electronics,20-06-1996,Michael A Avokf,michael.avokf@tntech.edu
280081,03-07-2015 08:29,06-09-2015 06:16,3401,GWKXFMTAAPNYI,SEO,Chrome,M,2921484965,0,electronics,17-02-1983,Caroline S Valetkevitchr,caroline.valetkevitchr@thefloridadesigngroup.com
319018,08-02-2015 17:21,23-02-2015 04:02,36218,HEMRFTLELMBQM,Ads,Chrome,M,2547495155,0,apparels,25-02-1980,Norihiko B Shirouzun,norihiko.shirouzun@yahoo.com
84673,10-05-2015 07:26,31-08-2015 06:54,6143,EQJDVNHTPLOXB,Direct,IE,F,741584943,0,cosmetics,09-01-1991,Suvashree D Deyw,suvashree.deyw@flossresearch.com
298557,05-07-2015 10:31,04-08-2015 02:57,91458,SPKIAONPICJEU,SEO,Chrome,M,2040684696,0,apparels,17-10-1982,Sinead S Carewx,sinead.carewx@yahoo.com
67592,10-01-2015 23:23,11-01-2015 06:23,53656,ITUMJCKWEYNDD,Ads,Safari,M,3874757617,1,electronics,08-01-1965,Anna P Yukhananovm,anna.yukhananovm@sutletgroup.com
243357,27-03-2015 18:16,02-07-2015 22:52,87640,GPQWESTBHWFHF,Ads,FireFox,F,2843824500,0,home_essentials,18-03-1970,Melanie M Leer,melanie.leer@gmail.com
32520,06-07-2015 01:46,05-10-2015 15:09,66696,ZILZCQXJKIVNC,Direct,Chrome,M,2106656394,0,electronics,24-03-1992,Glenn T Somervilleo,glenn.somervilleo@sutletgroup.com
234687,22-07-2015 03:22,24-08-2015 20:23,61846,SOBKWNCFYBXTW,SEO,IE,F,197883347.7,0,home_essentials,13-03-1995,Andrea P Shalal-Esag,andrea.shalal-esag@brandermill.com
282317,12-01-2015 07:55,25-02-2015 08:18,87085,ODRQOQHJUWGFM,SEO,Safari,F,339186950.5,0,apparels,13-09-1971,Dan P Levined,dan.levined@hotmail.com
142400,28-06-2015 21:49,25-09-2015 20:09,41011,TDIYGYJRUSMNW,SEO,Chrome,M,1347788843,0,home_essentials,07-09-1976,Poornima W Guptax,poornima.guptax@brandermill.com
170701,30-01-2015 11:43,06-02-2015 07:41,58991,NNSKETYBABELG,Ads,IE,M,347501160.7,0,apparels,,Ben P Hirschlerq,ben_hirschlerq@gmail.com
19542,02-01-2015 16:49,20-04-2015 21:34,28795,IQYBVZMXAKNOH,Ads,Safari,M,1795516378,0,apparels,16-10-1968,Katharina T Bartn,katharina.bartn@thefloridadesigngroup.com
10388,24-04-2015 05:19,18-07-2015 02:19,38501,XIURASSWQRRBM,Direct,IE,M,4132088551,0,apparels,23-11-1992,Daniel C Flynnu,daniel.flynnu@yahoo.com
235083,24-07-2015 03:39,18-11-2015 21:39,64320,NFHDFYBNHTREN,Ads,Chrome,F,3629094102,0,health_care,01-09-1996,Nate E Raymondd,nate.raymondd@rigginglifting.com
198982,17-04-2015 07:26,03-05-2015 21:43,83781,BYSCYGRHWSHIU,Ads,Chrome,F,1334106171,1,electronics,26-07-1989,ill P Rigbys,ill.rigbys@rigginglifting.com
232762,13-05-2015 02:48,18-05-2015 15:06,70302,YIATLXRUIXRCK,SEO,Safari,F,1930386251,0,apparels,,Ernest A Schuyderl,ernest.schuyderl@gmail.com
10055,06-04-2015 23:14,07-05-2015 15:21,53416,KDSEIVWEOCIEM,SEO,Chrome,F,2755626385,0,cosmetics,15-11-1979,James R Pomfretu,james.pomfretu@thefloridadesigngroup.com
244618,11-06-2015 12:40,30-08-2015 08:09,69516,MSPMJUTDCXZSC,SEO,FireFox,M,3014510992,0,electronics,26-05-1995,Reiji D Muraio,reiji.muraio@brandermill.com
50280,24-05-2015 21:16,01-06-2015 19:00,61180,IUZMJJBRDCGBZ,Ads,Chrome,M,4283640873,0,cosmetics,20-07-1991,Rie W Ishigurot,rie.ishigurot@flossresearch.com
56338,18-03-2015 03:36,11-07-2015 08:59,81476,KZZDZXHXXLQFD,SEO,Chrome,M,4227828366,0,apparels,05-11-1991,Euan G Rochai,euan.rochai@brandermill.com
11399,04-07-2015 00:59,26-07-2015 12:29,22868,XSBCMGYRILJRA,Ads,IE,F,392271513.2,0,health_care,24-03-1980,Julien C Toyerb,julien.toyerb@yahoo.com
65674,02-06-2015 22:31,23-08-2015 22:49,13022,HCKNCXWZGEMBA,Ads,IE,M,1276169798,0,health_care,02-05-1996,Investment J Correspondentu,investment.correspondentu@yahoo.com
17259,30-05-2015 16:06,03-09-2015 20:48,75110,YFDFRIQZFYEDP,SEO,Safari,M,943349666.9,0,electronics,10-05-1981,da H Costaa,da.costaa@brandermill.com
259616,16-02-2015 03:40,05-04-2015 01:06,98184,FIGVUJINBWPHC,SEO,Chrome,M,4060441522,0,cosmetics,09-07-1992,Jennifer I Ablans,jennifer.ablans@gmail.com
257432,24-03-2015 09:08,06-04-2015 02:30,5310,HYRIZVROAHIAM,Ads,Safari,F,1391043538,0,apparels,23-02-1955,John N McCrankq,john.mccrankq@gmail.com
322442,17-04-2015 18:52,31-05-2015 07:16,97266,ZDIXYKHTAPHNA,Ads,FireFox,F,4058503537,0,apparels,06-07-1969,Wolde U Katel,wolde_katel@yahoo.com
76442,07-02-2015 07:27,02-03-2015 06:57,2290,DEQAXKPHPWQWQ,SEO,Safari,M,1466689400,0,electronics,15-04-1991,Tim W Gaynorq,tim.gaynorq@gmail.com
28074,03-07-2015 09:31,07-08-2015 20:12,50827,GQOICTLWVUQJR,Ads,Chrome,M,728934461,0,apparels,07-08-1979,Elvina C Nawagunaq,elvina.nawagunaq@tntech.edu
31631,09-05-2015 07:29,10-06-2015 17:17,32582,UQYDANBPZHEWL,Ads,Safari,F,171340899.4,0,health_care,09-09-1988,Sarah X N.h,sarah.n.h@tntech.edu
135536,03-05-2015 22:40,18-07-2015 15:43,2769,ITRXCOXKEQTAM,SEO,FireFox,M,2097967789,0,apparels,24-09-1978,Henry D Foye,henry_foye@sutletgroup.com
378922,24-05-2015 04:19,30-06-2015 09:49,47959,ORQNABNCVPQFJ,Direct,Safari,M,473388710.5,0,health_care,19-01-1984,Malathi O Nayakw,malathi_nayakw@gmail.com
2048,25-03-2015 05:08,12-04-2015 12:23,30576,LGPVZQLEZZHYT,Ads,FireFox,M,1188111808,0,electronics,26-09-1988,Dena T Aubing,dena.aubing@thefloridadesigngroup.com
352206,06-01-2015 21:48,06-01-2015 21:48,78572,FRITFBEXOSJEI,Ads,IE,F,1367517508,1,cosmetics,15-10-1993,Pedro B Nicolacim,pedro.nicolacim@thefloridadesigngroup.com
254137,09-03-2015 19:43,01-04-2015 05:34,99743,TELOXKWAQLILK,SEO,Chrome,F,2788073740,0,home_essentials,24-11-1981,Zhou X Xiny,zhou#xiny@tntech.edu
181412,24-01-2015 10:49,02-04-2015 11:31,50183,XFIGXQDXGUOOO,Ads,FireFox,M,2497068532,0,health_care,22-07-1994,Herbert W Lashz,herbert.lashz@tntech.edu
369364,24-07-2015 22:15,06-09-2015 10:31,12879,KAGWUQQEBYRRL,SEO,FireFox,F,3431090301,0,cosmetics,25-03-1989,Scott J Haggettd,scott.haggettd@thefloridadesigngroup.com
208666,23-02-2015 06:07,17-04-2015 11:11,12324,ATZZLTQJZHTCS,Direct,Safari,M,1877903690,0,apparels,25-02-1983,Gavin W Jonesu,gavin.jonesu@tntech.edu
99190,23-07-2015 20:14,11-08-2015 13:13,76933,XUPSIDFWUQQBD,SEO,Chrome,M,2328929814,0,apparels,13-03-1984,Rodrigo F Camposw,rodrigo.camposw@gmail.com
396395,20-06-2015 15:14,04-10-2015 10:18,35578,DPSJNHEAZRWUN,Direct,FireFox,M,4051807652,0,cosmetics,13-09-1986,Julien N Toyerp,julien.toyerp@gmail.com
82593,29-05-2015 11:37,15-06-2015 07:53,71374,RWOTVJDERDZSX,SEO,FireFox,M,3310832866,0,cosmetics,18-07-1976,rian J Loveq,rian.loveq@gmail.com
195228,15-06-2015 11:19,15-08-2015 13:18,36720,HABFQXMPOVDSR,Ads,Safari,F,3496173875,0,electronics,04-07-1989,Soyoung F Kimt,soyoung_kimt876@yahoo.com
53372,08-07-2015 13:13,14-09-2015 01:34,86142,ZVJDDCSISXMSE,Direct,IE,F,2951870320,0,health_care,08-05-1974,Mary Y Gabrielx,mary.gabrielx@rigginglifting.com
234706,11-07-2015 09:45,01-10-2015 11:33,54371,XEPZIKDXXKXTQ,Direct,Chrome,F,3774962829,0,cosmetics,07-04-1993,Katharina Z Bartz,katharina.bartz@yahoo.com
280588,22-03-2015 05:17,23-05-2015 19:19,21561,KACKTATVEHQJP,SEO,IE,F,3160286683,0,cosmetics,25-09-1977,Mark K Felsenthalr,mark.felsenthalr@brandermill.com
180767,11-02-2015 03:35,22-03-2015 18:47,36369,IZMAAMLQXYIIU,SEO,Chrome,M,1394694454,0,electronics,06-04-1987,Anna Q Ringstromn,anna.ringstromn559@sutletgroup.com
19839,21-05-2015 12:34,31-08-2015 22:22,45962,WTYRBFWGIBNFY,Ads,Safari,F,195061052.7,0,health_care,07-03-1982,Paolo G Biondik,paolo.biondik@thefloridadesigngroup.com
254737,20-05-2015 08:42,27-07-2015 04:22,51071,FSUGPBSTMIDJV,Direct,FireFox,M,1612457072,0,cosmetics,05-09-1959,Leika T Kiharad,leika.kiharad@flossresearch.com
180729,09-07-2015 11:11,20-10-2015 00:06,13726,KEBJGRVYQRVXB,SEO,Chrome,M,701742083.3,0,apparels,15-01-1976,Nick V Edwardsg,nick.edwardsg@hotmail.com
235741,07-07-2015 03:33,12-07-2015 05:34,27252,EWMIAJTNJQYWM,Ads,FireFox,F,3208200046,0,electronics,26-05-1996,Andrea X Shalal-Esan,andrea.shalal-esan@yahoo.com
394190,18-04-2015 12:26,01-06-2015 06:27,4948,ONVRSZZIAVQVZ,Ads,Chrome,M,2040846378,0,health_care,05-07-1976,James O Daveyx,james.daveyx@gmail.com
167405,11-07-2015 22:10,28-10-2015 19:04,50613,JRURVTNUTQHWF,Direct,Chrome,F,1635505505,0,cosmetics,16-05-1984,Cyril A Altmeyerk,cyril.altmeyerk@yahoo.com
260600,22-07-2015 15:54,04-08-2015 15:06,89915,GVGMQPMENEUYR,SEO,IE,M,629111315.3,0,health_care,23-01-1979,Jonathan C Stempelz,jonathan.stempelz453@hotmail.com
44224,13-08-2015 17:21,15-11-2015 18:25,12868,VJZWVXGOUWMZP,Ads,Chrome,F,174423899.8,0,apparels,24-03-1980,Aruna X Viswanathap,aruna.viswanathap@yahoo.com
102563,26-03-2015 12:11,26-03-2015 14:11,6382,JUVSDAWADEXXX,SEO,Chrome,M,3754471851,1,electronics,22-03-1965,Huw E Jonesc,huw.jonesc@yahoo.com
162603,30-07-2015 00:25,12-10-2015 04:28,57151,LEAPEDUGFIJAS,SEO,Chrome,M,3427602390,1,electronics,15-11-1984,Valentina M Zaf,valentina_zaf91@gmail.com
104061,05-01-2015 00:09,05-01-2015 00:09,32721,XSEQHFFOYFICY,SEO,IE,M,2011989145,1,electronics,07-03-1982,Tim A Reidi,tim.reidi@thefloridadesigngroup.com
205594,07-04-2015 01:03,31-07-2015 16:52,57595,QMQLEJONNTRBT,SEO,FireFox,M,95584969.75,0,health_care,13-10-1992,Kaori U Kanekof,kaori.kanekof@hotmail.com
18857,13-08-2015 22:48,16-09-2015 18:50,71815,NRAWJXXBNCJSM,Ads,Chrome,M,3638272807,0,electronics,21-05-1974,Andrei C Khalipz,andrei.khalipz@yahoo.com
147574,30-01-2015 18:49,10-02-2015 18:58,52593,FDZMJVPBSYLYT,SEO,IE,F,4225495009,0,health_care,27-03-1963,Liana U B.q,liana.b.q@yahoo.com
182332,20-01-2015 19:23,18-05-2015 08:02,58312,WDKOBUDMVPNPP,Direct,Chrome,M,2262422562,0,home_essentials,04-03-1973,Niu M Shupingq,niu.shupingq@hotmail.com
149174,21-06-2015 11:41,07-09-2015 02:04,94027,LMQNZVDEQQDTY,Ads,Chrome,M,3557546660,0,health_care,04-10-1990,Kazunori W Takadas,kazunori.takadas@brandermill.com
293484,16-02-2015 11:10,24-02-2015 17:37,83848,VBENGAWFNPVLS,Ads,Chrome,F,1833385250,0,health_care,22-05-1980,Nick J Zieminskij,nick.zieminskij@gmail.com
348260,10-01-2015 17:13,10-01-2015 17:13,78075,VOQAAYLLJLUII,SEO,Safari,M,798938591.3,1,apparels,22-11-1988,Marianna Z Parragac,marianna.parragac@tntech.edu
